Time
0
389
0
2112
576
1536
1876
931
2153
2391
2872
874
1759
2827
1827
139
698
969
1841
1201
2065
2121
1502
445
1907
0
1135
985
0
1080
1176
2274
792
1685
478
3543
499
1524
1145
316
89
2105
0
991
