Time
0
482
2530
531
1382
0
1309
0
3453
1257
366
1003
1558
668
514
977
1443
4376
3439
1353
1864
7657
1231
411
974
0
549
1048
4854
1786
0
0
1530
2569
5263
581
1166
2158
689
