Time
2276
1153
1458
654
5257
2904
1167
161
1984
841
1818
592
733
692
1686
87
0
1543
1445
563
2256
2723
3122
986
107
2526
1682
2885
1436
1696
754
990
1587
1540
3009
988
1587
652
3784
