Time
0
0
2555
2018
0
0
0
0
0
6779
7109
1062
999
1645
1920
0
0
0
0
3125
0
0
0
1527
0
0
1692
6297
0
0
0
674
1925
3088
0
0
1857
0
2146
0
0
0
0
0
1320
0
1863
0
