Time
8641
1400
0
0
11099
0
0
0
0
7108
0
0
0
1448
0
0
1138
2198
0
0
0
0
0
2648
1633
6375
0
320
0
0
2501
311
1394
0
648
0
2253
5625
0
0
0
0
0
0
