Time
0
3678
0
0
1397
923
0
1396
999
0
600
0
1290
0
1638
0
1147
572
0
0
1044
2521
777
3585
0
3162
1183
0
4796
0
9452
0
203
6321
2649
1291
2719
1245
3804
